Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender
160,Physical Education - Athletics,100m (Male),Nil ,No,No,No,No,0,4,M
161,Physical Education - Athletics,200m (Male),Nil ,No,No,No,No,0,4,M
162,Physical Education - Athletics,400m (Male),Nil ,No,No,No,No,0,4,M
163,Physical Education - Athletics,800m (Male),Nil ,No,No,No,No,0,4,M
164,Physical Education - Athletics,1500m (Male),Nil ,No,No,No,No,0,4,M
165,Physical Education - Athletics,4 x 100m Relay (Male),Nil ,No,No,No,No,0,4,M
166,Physical Education - Athletics,Long Jump (Male),Nil ,No,No,No,No,0,4,M
167,Physical Education - Athletics,Shot Put (Male),Nil ,No,No,No,No,0,4,M
168,Physical Education - Athletics,Discus (Male),Nil ,No,No,No,No,0,4,M
169,Physical Education - Sports,Table Tennis - Singles (Male),Nil ,No,No,No,No,0,4,M
170,Physical Education - Sports,Table Tennis - Doubles (Male),Nil ,No,No,No,No,0,4,M
171,Physical Education - Sports,Football Kick (Male),Nil ,No,No,No,No,0,4,M
172,Physical Education - Sports,Soccer Kick (Male),Nil ,No,No,No,No,0,4,M
173,Physical Education - Sports,Netball Shoot (Male),Nil ,No,No,No,No,0,4,M
174,Physical Education - Sports,Basketball (Male),Nil ,No,No,No,No,0,4,M
175,Physical Education - Sports,Tennis - singles (Male),Nil ,No,No,No,No,0,4,M
176,Physical Education - Sports,Futsal (Male),Nil ,No,No,No,No,0,4,M
177,Physical Education - Sports,Volleyball (Male),Nil ,No,No,No,No,0,4,M
200,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0,1,F
201,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0,1,F
202,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0,1,F
203,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0,1,F
204,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0,1,F
205,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0,1,F
206,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0,1,F
209,Physical Education - Sports,Table Tennis - Singles (Female),Nil ,No,No,No,No,0,1,F
210,Physical Education - Sports,Table Tennis - Doubles (Female),Nil ,No,No,No,No,0,1,F
211,Physical Education - Sports,Football Kick (Female),Nil ,No,No,No,No,0,1,F
212,Physical Education - Sports,Soccer Kick (Female),Nil ,No,No,No,No,0,1,F
213,Physical Education - Sports,Netball Shoot (Female),Nil ,No,No,No,No,0,1,F
230,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0,3,F
231,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0,3,F
232,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0,3,F
233,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0,3,F
234,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0,3,F
235,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0,3,F
236,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0,3,F
237,Physical Education - Athletics,Shot Put (Female),Nil ,No,No,No,No,0,3,F
238,Physical Education - Athletics,Discus (Female),Nil ,No,No,No,No,0,3,F
239,Physical Education - Sports,Table Tennis - Singles (Female),Nil ,No,No,No,No,0,3,F
240,Physical Education - Sports,Table Tennis - Doubles (Female),Nil ,No,No,No,No,0,3,F
241,Physical Education - Sports,Football Kick (Female),Nil ,No,No,No,No,0,3,F
242,Physical Education - Sports,Soccer Kick (Female),Nil ,No,No,No,No,0,3,F
243,Physical Education - Sports,Netball Shoot (Female),Nil ,No,No,No,No,0,3,F
260,Physical Education - Athletics,100m (Female),Nil ,No,No,No,No,0,4,F
261,Physical Education - Athletics,200m (Female),Nil ,No,No,No,No,0,4,F
262,Physical Education - Athletics,400m (Female),Nil ,No,No,No,No,0,4,F
263,Physical Education - Athletics,800m (Female),Nil ,No,No,No,No,0,4,F
264,Physical Education - Athletics,1500m (Female),Nil ,No,No,No,No,0,4,F
265,Physical Education - Athletics,4 x 100m Relay (Female),Nil ,No,No,No,No,0,4,F
266,Physical Education - Athletics,Long Jump (Female),Nil ,No,No,No,No,0,4,F
267,Physical Education - Athletics,Shot Put (Female),Nil ,No,No,No,No,0,4,F
268,Physical Education - Athletics,Discus (Female),Nil ,No,No,No,No,0,4,F
269,Physical Education - Sports,Table Tennis - Singles (Female),Nil,No,No,No,No,0,4,F
270,Physical Education - Sports,Table Tennis - Doubles (Female),Nil,No,No,No,No,0,4,F
271,Physical Education - Sports,Football Kick (Female),Nil,No,No,No,No,0,4,F
272,Physical Education - Sports,Soccer Kick (Female),Nil,No,No,No,No,0,4,F
273,Physical Education - Sports,Netball Shoot (Female),Nil,No,No,No,No,0,4,F
